año,carrera,ingresos_H,ingresos_M,puntaje_H,puntaje_M,total_ingresos,brecha_ingresos,brecha_puntaje,titulaciones_M,titulaciones_H,total_titulaciones,brecha_titulaciones,asistencia_H,asistencia_M,autoconfianza_H,autoconfianza_M,motivacion_H,motivacion_M,participacion_H,participacion_M,brecha_motivacion,brecha_asistencia,brecha_participacion,brecha_autoconfianza,repr_prom_H,repr_prom_M,repr_min_H,repr_min_M,repr_max_H,repr_max_M,brecha_reprobaciones,riesgo_alto_H,riesgo_alto_M,riesgo_bajo_H,riesgo_bajo_M,riesgo_medio_H,riesgo_medio_M,asistencia_H_bajo,asistencia_M_bajo,autoconfianza_H_bajo,autoconfianza_M_bajo,motivacion_H_bajo,motivacion_M_bajo,participacion_H_bajo,participacion_M_bajo,repr_prom_H_bajo,repr_prom_M_bajo,repr_min_H_bajo,repr_min_M_bajo,repr_max_H_bajo,repr_max_M_bajo,asistencia_H_medio,asistencia_M_medio,autoconfianza_H_medio,autoconfianza_M_medio,motivacion_H_medio,motivacion_M_medio,participacion_H_medio,participacion_M_medio,repr_prom_H_medio,repr_prom_M_medio,repr_min_H_medio,repr_min_M_medio,repr_max_H_medio,repr_max_M_medio,asistencia_H_alto,asistencia_M_alto,autoconfianza_H_alto,autoconfianza_M_alto,motivacion_H_alto,motivacion_M_alto,participacion_H_alto,participacion_M_alto,repr_prom_H_alto,repr_prom_M_alto,repr_min_H_alto,repr_min_M_alto,repr_max_H_alto,repr_max_M_alto
2023,Ingeniería Civil Electrónica,,,,,,,,5.0,18.0,23.0,-13.0,3.75,,3.89,,4.14,,2.25,,,,,,3.0,,0.0,,1.39,,,10.71,,46.43,,42.86,,4.31,,4.31,,4.23,,2.62,,2.0,,0.0,,0.77,,3.33,,3.67,,4.33,,1.67,,2.0,,1.0,,1.67,,3.0,,3.0,,3.0,,3.0,,3.0,,3.0,,3.0,
2024,Ingeniería Civil Electrónica,,,,,,,,4.0,29.0,33.0,-25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,Ingeniería Civil Electrónica,,,,,,,,,,,,3.66,3.19,3.47,3.05,4.68,4.48,2.27,2.0,-0.2,-0.47,-0.27,-0.42,1.0,0.0,0.0,0.0,0.05,0.0,-1.0,0.0,0.0,61.02,14.29,38.98,85.71,3.94,3.0,3.56,2.0,4.61,4.0,2.39,2.0,1.0,0.0,0.0,0.0,0.08,0.0,3.22,3.22,3.35,3.22,4.78,4.56,2.09,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2007,Ingeniería Civil Eléctrica,,,,,,,,3.0,12.0,15.0,-9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,Ingeniería Civil Eléctrica,,,,,,,,2.0,29.0,31.0,-27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Ingeniería Civil Eléctrica,,,,,,,,2.0,24.0,26.0,-22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Ingeniería Civil Eléctrica,,,,,,,,3.0,22.0,25.0,-19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Ingeniería Civil Eléctrica,,,,,,,,0.0,24.0,24.0,-24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,Ingeniería Civil Eléctrica,,,,,,,,5.0,22.0,27.0,-17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,Ingeniería Civil Eléctrica,42.0,8.0,656.5,645.25,50.0,-34.0,-11.25,2.0,31.0,33.0,-29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,Ingeniería Civil Eléctrica,37.0,7.0,673.41,661.86,44.0,-30.0,-11.55,1.0,39.0,40.0,-38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Ingeniería Civil Eléctrica,41.0,0.0,686.12,,41.0,-41.0,,3.0,20.0,23.0,-17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Ingeniería Civil Eléctrica,41.0,3.0,690.83,681.67,44.0,-38.0,-9.16,3.0,20.0,23.0,-17.0,5.0,,4.0,,3.0,,3.0,,,,,,3.0,,3.0,,3.0,,,0.0,,100.0,,0.0,,5.0,,4.0,,3.0,,3.0,,3.0,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Ingeniería Civil Eléctrica,40.0,1.0,685.8,683.0,41.0,-39.0,-2.8,1.0,23.0,24.0,-22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Ingeniería Civil Eléctrica,,,,,,,,2.0,23.0,25.0,-21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Ingeniería Civil Eléctrica,,,,,,,,1.0,31.0,32.0,-30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
